station_id,name,lat,lon,capacity,address,is_charging_station,nearby_distance
7957,Brimley Rd / Lawrence Ave E ,43.754048543993,-79.2553167552948,39,925 Brimley Rd,False,400.0
7958,Centennial College (Ashtonbee Campus),43.7300360184561,-79.2920036521843,19,75 Ashtonbee Rd,False,500.0
7959,Bellamy Rd N / The Meadoway,43.7650727181818,-79.2383538161468,15,645 Bellamy Rd N,False,200.0
7960,Markham Rd / The Meadoway ,43.7712189487363,-79.2295652698364,19,960 Markham Rd,False,200.0
7961,Ellesmere Rd / Markham Rd,43.7768293875108,-79.2305003612381,15,2180 Ellesmere Rd,False,200.0
7962,Slan Ave / Scarborough Golf Club Rd,43.7732726171126,-79.2197148527786,15,Slan Ave / Scarborough Golf Club Rd,False,200.0
7963,Cedar Dr / Eglinton Ave E,43.7442082021558,-79.2156463661316,11,Cedar Dr / Eglinton Ave E,False,300.0
7964,Kennedy Rd/Ranstone Gdns (Jack Goodlad Park),43.7419057094063,-79.2718188764046,15,Kennedy Rd / Ranstone Gardens ,False,2000.0
7965,Eglinton Ave E / Brimley Rd,43.7369525729339,-79.2479836724915,19,Eglinton Ave E / Brimley Rd,False,1100.0
7966,Albany Ave / Dupont St,43.6734889997723,-79.4133952055573,15,Albany Ave / Dupont St,False,150.0
7967,Gordonridge Pl / Danforth Rd,43.7272907729026,-79.2523790719665,15,Gordonridge Pl / Danforth Rd,False,1600.0
7968,McCowan Rd / Trudelle St,43.7403390157521,-79.2393531962952,19,McCowan Rd / Trudelle St,False,1000.0
7969,Bayview Ave / Finch Recreational Trail,43.7890686986395,-79.3931509600494,19,Bayview Ave / Finch Recreational Trail,False,2000.0
7970,Willowdale Ave / Bishop Ave ,43.7838725246725,-79.4078680981476,19,Willowdale Ave / Bishop Ave ,False,300.0
7971,Talbot Rd / Finch Hydro Corridor,43.7822529811063,-79.4236706283112,15,Talbot Rd / Finch Hydro Corridor,False,300.0
7972,Eglinton Ave E / Mason Rd ,43.7420374405226,-79.2248868008026,11,Eglinton Ave E / Mason Rd ,False,400.0
7973,Lawrence Ave E / Don Mills Trail,43.7345818591229,-79.3548539927292,19,Lawrence Ave E / Don Mills Trail,False,300.0
7974,Kempford Blvd / Yonge St,43.7768572350998,-79.4151161430729,19,Kempford Blvd / Yonge St,False,100.0
7975,Empress Ave / Yonge St,43.7693954566255,-79.4126652176971,19,2 Empress Ave,False,300.0
7976,Yonge St / Sheppard Ave E,43.761286057775,-79.4107164420527,19,Yonge St / Sheppard Ave E (south side),False,300.0
7977,Leslie Subway Station,43.7703789237079,-79.3670273419568,15,Leslie Subway Station,False,300.0
7978,Yonge St / North York Blvd,43.7672658993493,-79.4126348981476,23,Yonge St / North York Blvd,False,250.0
7979,Bond Ave / Don Mills Trail,43.7447583425304,-79.3534806994057,19,Bond Ave / Don Mills Trail,False,400.0
7981,Duncan Mill Rd / Valleybrook Dr,43.7616712534246,-79.3525830269836,15,Duncan Mill Rd / Valleybrook Dr,False,300.0
7982,Finch Ave W / Wilmington Ave,43.7706024442805,-79.4599758917877,19,Finch Ave W / Wilmington Ave,False,400.0
7983,York Mills Rd / Lesmill Rd,43.7549215557014,-79.3517483846558,14,York Mills Rd / Lesmill Rd,False,500.0
7984,Lake Shore Blvd W / Bathurst St,43.6367559225687,-79.3992053895493,23,Lakeshore Blvd W / Bathurst St,False,200.0
7985,Hawksbury Dr / Sheppard Ave E ,43.7681623944478,-79.38312075159,15,Hawksbury Dr / Sheppard Ave E ,False,400.0
7986,Sheppard Ave E / Leslie St,43.771148300319,-79.3638116645569,19,Sheppard Ave E / Leslie St,False,400.0
7987,Shaughnessy Blvd / Sheppard Ave E,43.7735146269402,-79.3530622411392,15,Shaughnessy Blvd / Sheppard Ave E,False,400.0
7988,Brahms Ave / Finch Ave E,43.7923632644299,-79.3583631802872,19,Brahms Ave / Finch Ave E,False,400.0
7989,Don Mills Rd / Fairview Mall Dr,43.7788855079041,-79.3483716976227,15,Don Mills Rd / Fairview Mall Dr,False,400.0
7990,Don Mills Rd / Goodview Rd,43.7853464744797,-79.3536292103119,15,Don Mills Rd / Goodview Rd,False,400.0
7991,Kingston Rd / Markham Rd,43.7387843892732,-79.2174648570084,15,Kingston Rd / Markham Rd,False,500.0
7992,Fairglen Cres / Weston Rd,43.7087674747708,-79.5344519239426,11,Fairglen Cres / Weston Rd,False,1000.0
